source_row_id,latitude,longitude,lat_grid,lon_grid,acq_date,acq_time,acq_datetime,confidence_raw,satellite,instrument,daynight,osm_query_status,in_mainland_india,frp,confidence,historical_count,historical_frp_mean,historical_frp_max,persistence_days,industrial_distance,residential_distance,road_distance,frp_zscore,persistence_ratio,has_baseline,bright_ti4,bright_ti5,brightness_difference,scan,track,is_night,hour,day_of_week,near_industrial,near_agriculture,near_forest,near_residential,near_commercial,osm_queried
158,8.12212,80.81266,8.12,80.81,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,ok,True,7.76,0,5.0,1.898,2.69,1.0,,,,13.15660029689106,1.0,True,356.8,306.15,50.650000000000034,0.4,0.37,0,8,5,0,0,0,0,0,1
159,8.12266,80.8163,8.12,80.82,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.85,0,0.0,0.0,0.0,0.0,,,,,0.0,False,338.16,303.51,34.650000000000034,0.4,0.37,0,8,5,0,0,0,0,0,0
160,8.12496,80.80852,8.12,80.81,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,ok,True,5.69,0,5.0,1.898,2.69,1.0,,,,8.5107178993195,1.0,True,340.1,302.17,37.93000000000001,0.4,0.37,0,8,5,0,0,0,0,0,1
161,8.1255,80.81214,8.13,80.81,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.69,0,0.0,0.0,0.0,0.0,,,,,0.0,False,352.75,302.29,50.45999999999998,0.4,0.37,0,8,5,0,0,0,0,0,0
162,8.12604,80.81579,8.13,80.82,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,4.16,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.75,300.59,37.160000000000025,0.4,0.37,0,8,5,0,0,0,0,0,0
163,8.12778,80.54986,8.13,80.55,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.47,0,1.0,2.51,2.51,1.0,,,,,1.0,True,333.36,298.87,34.49000000000001,0.4,0.37,0,8,5,0,0,0,0,0,0
164,8.16122,80.68085,8.16,80.68,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,5.52,0,0.0,0.0,0.0,0.0,,,,,0.0,False,340.74,304.9,35.84000000000003,0.4,0.37,0,8,5,0,0,0,0,0,0
165,8.16176,80.68446,8.16,80.68,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,6.66,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.97,303.25,34.72000000000003,0.4,0.37,0,8,5,0,0,0,0,0,0
166,8.17138,81.07531,8.17,81.08,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.53,0,0.0,0.0,0.0,0.0,,,,,0.0,False,337.03,302.89,34.139999999999986,0.41,0.37,0,8,5,0,0,0,0,0,0
167,8.17441,80.63096,8.17,80.63,2026-09-05,813,2026-09-05 08:13:00,n,N,VIIRS,D,not_queried,True,2.95,0,0.0,0.0,0.0,0.0,,,,,0.0,False,333.18,302.61,30.569999999999993,0.4,0.37,0,8,5,0,0,0,0,0,0
